"ID","scenario","region","soiltype","initDR","year","crop","gp","oc","yield","calories","calories_diff","land_use","land_use_diff","ww_yield","ww_pc","cyl","output","fuel_cost","labour_cost","operations_cost","fertiliser_cost","seed_cost","herbicide_cost","sundry_cost","variables_cost","other_cost","c_fert_prod","c_fert_appl","c_pesticide","c_stock_change","c_field_energy_use","c_total","c_emiss_diff"
"BAU_e_m_HD-HR_5","BAU","east","medium","HD-HR",5,"winterwheat",554.026044978332,0,6.4531549437889,2155.35375122549,0,0.464070880330314,0,6.4531549437889,0,53.9905405405405,1400.69962815005,123.717687378788,63.9058957929295,187.623583171718,233.96,72,171.09,182,659.05,487.96,1345.142857,982.23697,166.0008,0,73.4481337,2566.828761,0
"BAU_e_m_HD-HR_6","BAU","east","medium","HD-HR",6,"wosr",358.55,0,2.86,1412.84,0,0.707794230061437,0,0,0,0,1181.1,195,103,298,241.8,23.49,67.26,192,524.55,457.29,1161.714286,829.348723,41,0,46.25251689,2078.315526,0
"BAU_e_l_HD-HR_1","BAU","east","light","HD-HR",1,"winterwheat",575.5,0,6.24,2084.16,0,0.479964235132736,0,6.24,0,102.2,1361.8,99.75,51.5,151.25,209.96,72,171.09,182,635.05,463.96,1161.714286,1136.910397,166.0008,0,39.66685587,2504.292338,0
"BAU_e_l_HD-HR_2","BAU","east","light","HD-HR",2,"winterwheat",422.583997484231,0,5.4486196172566,1819.83895216371,0,0.550104437336166,0,5.4486196172566,0,122.523108108108,1217.3762689772,105.380037066156,54.362234426809,159.742271492965,209.96,72,171.09,182,635.05,463.96,1161.714286,1136.910397,166.0008,0,58.2568469,2522.882329,0
"BAU_e_l_HD-HR_3","BAU","east","light","HD-HR",3,"wosr",216.4,0,2.37,1170.78,0,0.854131433745025,0,0,0,0,1016.95,181,95,276,241.8,23.49,67.26,192,524.55,457.29,1161.714286,1136.910397,41,0,36.5791303,2376.203813,0
"BAU_e_l_HD-HR_4","BAU","east","light","HD-HR",4,"winterwheat",515.612196450448,0,5.90642691265014,1972.74658882515,0,0.507409338130177,0,5.90642691265014,0,163.076891891892,1300.92291155865,99.0380878344385,51.2226272737645,150.260715108203,209.96,72,171.09,182,635.05,463.96,1161.714286,1136.910397,166.0008,0,39.66685587,2504.292338,0
"BAU_e_l_HD-HR_5","BAU","east","light","HD-HR",5,"winterwheat",427.930602608614,0,5.48289249100747,1831.2860919965,0,0.546214758082517,0,5.48289249100747,0,54.222027027027,1223.62833171994,106.059927141166,54.5878019701615,160.647729111328,209.96,72,171.09,182,635.05,463.96,1161.714286,1136.910397,166.0008,0,58.2568469,2522.882329,0
"BAU_e_l_HD-HR_6","BAU","east","light","HD-HR",6,"wosr",216.4,0,2.37,1170.78,0,0.854131433745025,0,0,0,0,1016.95,181,95,276,241.8,23.49,67.26,192,524.55,457.29,1161.714286,1136.910397,41,0,36.5791303,2376.203813,0
"BAU_n_h_LD-HR_1","BAU","north","heavy","LD-HR",1,"winterwheat",1008.58,0,8.96,2992.64,0,0.334153122326775,0,8.96,0,0,1858.2,128,65,193,233.96,72,168.66,182,656.62,487.96,1345.142857,1978.57345,151.2408,0,43.46694179,3518.424049,0
"BAU_n_h_LD-HR_2","BAU","north","heavy","LD-HR",2,"winterwheat",741.750564721404,0,7.49044091344916,2501.80726509202,0,0.40020035586144,0,7.49044091344916,0,104.677027027027,1590.00376054348,127.12999734451,64.5050738601425,191.635071204652,233.96,72,168.66,182,656.62,487.96,1345.142857,1978.57345,151.2408,0,43.46694179,3518.424049,0
"BAU_n_h_LD-HR_3","BAU","north","heavy","LD-HR",3,"wosr",498.7,0,3.35,1654.9,0,0.604266118798719,0,0,0,0,1345.25,211,111,322,241.8,23.49,67.26,192,524.55,457.29,1161.714286,1663.150282,41,0,55.92590348,2921.790471,0
"BAU_n_h_LD-HR_4","BAU","north","heavy","LD-HR",4,"winterwheat",748.368925590328,0,7.51896669840097,2511.33487726592,0,0.398646918279794,0,7.51896669840097,0,262.986216216216,1595.21303810404,126.07964897176,64.144463541954,190.224112513714,233.96,72,168.66,182,656.62,487.96,1345.142857,1978.57345,151.2408,0,43.46694179,3518.424049,0
"BAU_n_h_LD-HR_5","BAU","north","heavy","LD-HR",5,"winterwheat",657.175078846637,0,7.02620316561953,2346.75185731692,0,0.426324664637074,0,7.02620316561953,0,107.636756756757,1505.28296170162,127.04881706801,64.4390657869706,191.48788285498,233.96,72,168.66,182,656.62,487.96,1345.142857,1978.57345,151.2408,0,43.46694179,3518.424049,0
"BAU_n_h_LD-HR_6","BAU","north","heavy","LD-HR",6,"wosr",498.7,0,3.35,1654.9,0,0.604266118798719,0,0,0,0,1345.25,211,111,322,241.8,23.49,67.26,192,524.55,457.29,1161.714286,1663.150282,41,0,55.92590348,2921.790471,0
"BAU_n_m_LD-HR_1","BAU","north","medium","LD-HR",1,"winterwheat",843.43,0,7.94,2651.96,0,0.377079593960693,0,7.94,0,0,1672.05,114,58,172,233.96,72,168.66,182,656.62,487.96,1345.142857,982.23697,151.2408,0,41.56689883,2520.187526,0
"BAU_n_m_LD-HR_2","BAU","north","medium","LD-HR",2,"winterwheat",610.472292986531,0,6.74815065335169,2253.88231821946,0,0.44409059898287,0,6.74815065335169,0,72.6035135135135,1454.5355928229,123.586876291059,63.8622920970197,187.449168388079,233.96,72,168.66,182,656.62,487.96,1345.142857,982.23697,151.2408,0,73.4481337,2552.068761,0
"BAU_n_m_LD-HR_3","BAU","north","medium","LD-HR",3,"wosr",358.55,0,2.86,1412.84,0,0.707794230061437,0,0,0,0,1181.1,195,103,298,241.8,23.49,67.26,192,524.55,457.29,1161.714286,829.348723,41,0,46.25251689,2078.315526,0
"BAU_n_m_LD-HR_4","BAU","north","medium","LD-HR",4,"winterwheat",653.340809197421,0,6.88939659618632,2301.05846312623,0,0.435034077349677,0,6.88939659618632,0,191.735540540541,1480.31466752812,112.768472566605,57.5894908555351,170.357963422141,233.96,72,168.66,182,656.62,487.96,1345.142857,982.23697,151.2408,0,41.56689883,2520.187526,0
"BAU_n_m_LD-HR_5","BAU","north","medium","LD-HR",5,"winterwheat",545.12122732446,0,6.39047570310301,2134.41888483641,0,0.46864656564271,0,6.39047570310301,0,65.4287837837838,1389.26089764643,123.639752741474,63.8799175804913,187.519670321965,233.96,72,168.66,182,656.62,487.96,1345.142857,982.23697,151.2408,0,73.4481337,2552.068761,0
"BAU_n_m_LD-HR_6","BAU","north","medium","LD-HR",6,"wosr",358.55,0,2.86,1412.84,0,0.707794230061437,0,0,0,0,1181.1,195,103,298,241.8,23.49,67.26,192,524.55,457.29,1161.714286,829.348723,41,0,46.25251689,2078.315526,0
"BAU_n_l_LD-HR_1","BAU","north","light","LD-HR",1,"winterwheat",678.38,0,6.8,2271.2,0,0.440295878830574,0,6.8,0,0,1464,101,52,153,209.96,72,168.66,182,632.62,463.96,1161.714286,1136.910397,151.2408,0,39.66685587,2489.532338,0
"BAU_n_l_LD-HR_2","BAU","north","light","LD-HR",2,"winterwheat",486.099228153587,0,5.78830949694606,1933.29537197998,0,0.517717491283923,0,5.78830949694606,0,60.5310810810811,1279.36851167624,106.054980239584,54.5943032830691,160.649283522653,209.96,72,168.66,182,632.62,463.96,1161.714286,1136.910397,151.2408,0,58.2568469,2508.122329,0
"BAU_n_l_LD-HR_3","BAU","north","light","LD-HR",3,"wosr",216.4,0,2.37,1170.78,0,0.854131433745025,0,0,0,0,1016.95,181,95,276,241.8,23.49,67.26,192,524.55,457.29,1161.714286,1136.910397,41,0,36.5791303,2376.203813,0
"BAU_n_l_LD-HR_4","BAU","north","light","LD-HR",4,"winterwheat",526.108549520106,0,5.95119466947818,1987.69901960571,0,0.503643896747378,0,5.95119466947818,0,154.906486486487,1309.09302717977,99.115795166338,51.2486824933237,150.364477659662,209.96,72,168.66,182,632.62,463.96,1161.714286,1136.910397,151.2408,0,39.66685587,2489.532338,0
"BAU_n_l_LD-HR_5","BAU","north","light","LD-HR",5,"winterwheat",431.966031392308,0,5.49189551460241,1834.2931018772,0,0.545320778043235,0,5.49189551460241,0,52.5786486486486,1225.27137567242,106.086346341994,54.5989979381217,160.685344280115,209.96,72,168.66,182,632.62,463.96,1161.714286,1136.910397,151.2408,0,58.2568469,2508.122329,0
"BAU_n_l_LD-HR_6","BAU","north","light","LD-HR",6,"wosr",216.4,0,2.37,1170.78,0,0.854131433745025,0,0,0,0,1016.95,181,95,276,241.8,23.49,67.26,192,524.55,457.29,1161.714286,1136.910397,41,0,36.5791303,2376.203813,0
"BAU_c_h_LD-HR_1","BAU","central","heavy","LD-HR",1,"winterwheat",1008.58,0,8.96,2992.64,0,0.334153122326775,0,8.96,0,0,1858.2,128,65,193,233.96,72,168.66,182,656.62,487.96,1345.142857,1978.57345,151.2408,0,43.46694179,3518.424049,0
"BAU_c_h_LD-HR_2","BAU","central","heavy","LD-HR",2,"winterwheat",742.093383513178,0,7.49234301714391,2502.44256772607,0,0.400101295715655,0,7.49234301714391,0,104.329594594595,1590.35089985972,127.132850380996,64.5065343855708,191.639384766567,233.96,72,168.66,182,656.62,487.96,1345.142857,1978.57345,151.2408,0,43.46694179,3518.424049,0
"BAU_c_h_LD-HR_3","BAU","central","heavy","LD-HR",3,"wosr",498.7,0,3.35,1654.9,0,0.604266118798719,0,0,0,0,1345.25,211,111,322,241.8,23.49,67.26,192,524.55,457.29,1161.714286,1663.150282,41,0,55.92590348,2921.790471,0
"BAU_c_h_LD-HR_4","BAU","central","heavy","LD-HR",4,"winterwheat",748.479224704224,0,7.51957606926353,2511.53840713402,0,0.398613803575654,0,7.51957606926353,0,262.875405405405,1595.32424917185,126.080421476114,64.1446029915109,190.225024467624,233.96,72,168.66,182,656.62,487.96,1345.142857,1978.57345,151.2408,0,43.46694179,3518.424049,0
"BAU_c_h_LD-HR_5","BAU","central","heavy","LD-HR",5,"winterwheat",657.637224372286,0,7.02876686740067,2347.60813371182,0,0.426168048454181,0,7.02876686740067,0,107.168648648649,1505.75083795164,127.052824437569,64.4407891417843,191.493613579353,233.96,72,168.66,182,656.62,487.96,1345.142857,1978.57345,151.2408,0,43.46694179,3518.424049,0
"BAU_c_h_LD-HR_6","BAU","central","heavy","LD-HR",6,"wosr",498.7,0,3.35,1654.9,0,0.604266118798719,0,0,0,0,1345.25,211,111,322,241.8,23.49,67.26,192,524.55,457.29,1161.714286,1663.150282,41,0,55.92590348,2921.790471,0
"BAU_c_m_LD-HR_1","BAU","central","medium","LD-HR",1,"winterwheat",843.43,0,7.94,2651.96,0,0.377079593960693,0,7.94,0,0,1672.05,114,58,172,233.96,72,168.66,182,656.62,487.96,1345.142857,982.23697,151.2408,0,41.56689883,2520.187526,0
"BAU_c_m_LD-HR_2","BAU","central","medium","LD-HR",2,"winterwheat",610.472292986531,0,6.74815065335169,2253.88231821946,0,0.44409059898287,0,6.74815065335169,0,72.6035135135135,1454.5355928229,123.586876291059,63.8622920970197,187.449168388079,233.96,72,168.66,182,656.62,487.96,1345.142857,982.23697,151.2408,0,73.4481337,2552.068761,0
"BAU_c_m_LD-HR_3","BAU","central","medium","LD-HR",3,"wosr",358.55,0,2.86,1412.84,0,0.707794230061437,0,0,0,0,1181.1,195,103,298,241.8,23.49,67.26,192,524.55,457.29,1161.714286,829.348723,41,0,46.25251689,2078.315526,0
"BAU_c_m_LD-HR_4","BAU","central","medium","LD-HR",4,"winterwheat",653.340809197421,0,6.88939659618632,2301.05846312623,0,0.435034077349677,0,6.88939659618632,0,191.735540540541,1480.31466752812,112.768472566605,57.5894908555351,170.357963422141,233.96,72,168.66,182,656.62,487.96,1345.142857,982.23697,151.2408,0,41.56689883,2520.187526,0
