"fieldname","scenario","year","rotation","fieldID","product","production_area","finished_product_from_production_area","climate","avg_annual_temp","croptype","soiltexture","SOM_integer","SOM","soilmoisture","soildrainage","pHvalue","pH","fertiliser1","applicationrate","applicationmethod","fertiliser_spraydays","pesticide_applicns","tillage_changes","tillage_changes_time","tillage_changes_pc","residue_management","residue_incorporation","chisel_plough","disc_gang","disc_harrow","field_cultivator_ridger ","grain_drill","grain_drill_notill","row_crop_planter","moldboard_plough","roller_harrow","roller_packer","rotary_hoe_bed_tiller","subsoiler","tine_harrow","spraydays_BGgly","wtd_yield_mean"
"n_l_LD-HR","BAU",2015,"5","BAU_n_l_LD-HR_5","winterwheat",7.2,37.614985723554,"Temperate",10,"Winter wheat","Coarse",5.16,"1.72 < SOM <= 5.16","Moist","Good",7,"5.5 < pH <= 7.3","Ammonium nitrate - 35% N",190,"Apply in solution",3,7.3776,"No ",0,100,"Left on field; Incorporated or mulch","no change",0,0,0,0,0,1,0,1,1,2,0,0,0,4,5.22430357271584
"n_l_LD-HR","BAU",2016,"6","BAU_n_l_LD-HR_6","wosr",7.2,17.064,"Temperate",10,"Other","Coarse",5.16,"1.72 < SOM <= 5.16","Moist","Good",7,"5.5 < pH <= 7.3","Ammonium nitrate - 35% N",190,"Apply in solution",3,2,"No ",0,100,"Left on field; Incorporated or mulch","no change",0,0,0,0,0,0,0,0,0,1,0,1,0,3,2.37
"n_l_LD-LR","BAU",2011,"1","BAU_n_l_LD-LR_1","winterwheat",7.2,45.9238850543784,"Temperate",10,"Winter wheat","Coarse",5.16,"1.72 < SOM <= 5.16","Moist","Good",7,"5.5 < pH <= 7.3","Ammonium nitrate - 35% N",190,"Apply in solution",3,7.3776,"No ",0,100,"Left on field; Incorporated or mulch","no change",0,0,1,0,0,1,0,0,0,2,0,0,0,4,6.37831736866366
"n_l_LD-LR","BAU",2012,"2","BAU_n_l_LD-LR_2","winterwheat",7.2,40.7981263581646,"Temperate",10,"Winter wheat","Coarse",5.16,"1.72 < SOM <= 5.16","Moist","Good",7,"5.5 < pH <= 7.3","Ammonium nitrate - 35% N",190,"Apply in solution",3,7.3776,"No ",0,100,"Left on field; Incorporated or mulch","no change",0,0,0,0,0,1,0,1,1,2,0,0,0,4,5.66640643863397
"n_l_LD-LR","BAU",2013,"3","BAU_n_l_LD-LR_3","wosr",7.2,17.064,"Temperate",10,"Other","Coarse",5.16,"1.72 < SOM <= 5.16","Moist","Good",7,"5.5 < pH <= 7.3","Ammonium nitrate - 35% N",190,"Apply in solution",3,2,"No ",0,100,"Left on field; Incorporated or mulch","no change",0,0,0,0,0,0,0,0,0,1,0,1,0,3,2.37
"n_l_LD-LR","BAU",2014,"4","BAU_n_l_LD-LR_4","winterwheat",7.2,44.944514820605,"Temperate",10,"Winter wheat","Coarse",5.16,"1.72 < SOM <= 5.16","Moist","Good",7,"5.5 < pH <= 7.3","Ammonium nitrate - 35% N",190,"Apply in solution",3,7.3776,"No ",0,100,"Left on field; Incorporated or mulch","no change",0,0,1,0,0,1,0,0,0,2,0,0,0,4,6.24229372508403
"n_l_LD-LR","BAU",2015,"5","BAU_n_l_LD-LR_5","winterwheat",7.2,39.3763681540433,"Temperate",10,"Winter wheat","Coarse",5.16,"1.72 < SOM <= 5.16","Moist","Good",7,"5.5 < pH <= 7.3","Ammonium nitrate - 35% N",190,"Apply in solution",3,7.3776,"No ",0,100,"Left on field; Incorporated or mulch","no change",0,0,0,0,0,1,0,1,1,2,0,0,0,4,5.46894002139491
"n_l_LD-LR","BAU",2016,"6","BAU_n_l_LD-LR_6","wosr",7.2,17.064,"Temperate",10,"Other","Coarse",5.16,"1.72 < SOM <= 5.16","Moist","Good",7,"5.5 < pH <= 7.3","Ammonium nitrate - 35% N",190,"Apply in solution",3,2,"No ",0,100,"Left on field; Incorporated or mulch","no change",0,0,0,0,0,0,0,0,0,1,0,1,0,3,2.37
"c_h_HD-HR","BAU",2011,"1","BAU_c_h_HD-HR_1","winterwheat",7.2,57.0493395544443,"Temperate",10,"Winter wheat","Fine",5.848,"5.16 < SOM <= 10.32","Moist","Good",7,"5.5 < pH <= 7.3","Ammonium nitrate - 35% N",220,"Apply in solution",3,8.0976,"No ",0,100,"Left on field; Incorporated or mulch","no change",0,0,1,0,0,1,0,0,0,2,0,0,0,4,7.92351938256171
"c_h_HD-HR","BAU",2012,"2","BAU_c_h_HD-HR_2","winterwheat",7.2,49.3802951104241,"Temperate",10,"Winter wheat","Fine",5.848,"5.16 < SOM <= 10.32","Moist","Good",7,"5.5 < pH <= 7.3","Ammonium nitrate - 35% N",220,"Apply in solution",3,8.0976,"No ",0,100,"Left on field; Incorporated or mulch","no change",0,0,1,0,0,1,0,0,0,2,0,0,0,4,6.85837432089223
